,Predicciones Venta
1338,156.44913
1339,157.06322
1340,156.15822
1341,155.97362
1342,159.09302
1343,157.6215
1344,155.04973
1345,154.95013
1346,155.15656
1347,155.89893
1348,156.93993
1349,160.39384
1350,159.1339
1351,156.77988
1352,156.77988
1353,157.0591
1354,157.92151
1355,159.6367
1356,152.9035
1357,145.80899
1358,144.41406
1359,144.63422
1360,143.87639
1361,142.01968
1362,143.04198
1363,143.6413
1364,144.72505
1365,145.77412
1366,147.32687
1367,146.78354
1368,145.30273
1369,146.30167
1370,146.97415
1371,148.07388
1372,149.164
1373,147.32138
1374,139.81042
1375,138.85426
1376,139.4304
1377,141.12053
1378,136.4094
1379,136.94037
1380,136.57375
1381,137.44336
1382,138.32312
1383,141.1468
1384,143.04025
1385,138.953
1386,139.44208
1387,139.213
1388,140.0711
1389,140.97627
1390,140.9895
1391,143.15755
1392,142.59497
1393,144.26654
1394,143.61261
1395,141.95683
1396,142.98822
1397,143.5896
1398,144.67595
1399,145.72621
1400,147.2654
1401,146.72618
1402,145.25328
1403,146.25754
1404,146.93242
1405,148.0349
1406,149.12605
1407,159.82663
1408,165.7996
1409,165.94112
1410,168.43474
1411,167.73479
1412,166.95842
1413,167.62282
1414,168.26593
1415,169.12354
1416,170.00879
1417,172.13011
1418,171.3996
1419,170.63403
1420,171.28058
1421,171.9529
1422,172.82698
1423,173.73935
1424,162.63213
1425,154.17358
1426,156.89665
1427,154.77995
1428,153.85658
1429,155.29462
1430,158.46245
1431,157.48274
1432,155.2364
1433,155.37721
1434,155.67636
1435,156.26727
1436,156.03235
1437,154.41452
1438,153.92528
1439,156.58136
1440,155.27625
1441,152.89406
1442,152.95776
1443,153.19681
1444,153.95274
1445,154.86702
1446,158.07727
1447,157.03746
1448,154.86977
1449,155.01521
1450,155.32397
1451,156.12268
1452,157.0761
1453,152.08936
1454,141.48407
1455,138.50858
1456,138.62947
1457,140.26602
1458,135.47916
1459,136.15181
1460,135.74808
1461,136.50195
1462,137.21118
1463,140.11713
1464,142.20618
1465,138.15207
1466,138.81151
1467,138.56645
1468,139.34059
1469,140.10768
1470,153.08725
1471,164.6001
1472,165.04796
1473,168.26765
1474,167.60909
1475,166.89694
1476,167.55585
1477,168.20326
1478,169.06516
1479,169.95451
1480,172.09387
1481,171.34068
1482,170.57497
1483,171.22598
1484,171.9024
1485,172.78078
1486,173.69676
1487,177.87589
1488,179.39584
1489,181.68169
1490,178.9296
1491,176.70781
1492,176.31404
1493,178.23634
1494,180.36765
1495,182.64284
1496,184.81415
1497,183.03163
1498,181.07533
1499,180.63708
1500,182.30403
1501,184.20676
1502,186.2575
1503,188.23218
1504,170.07713
1505,154.60068
1506,152.35948
1507,152.1431
1508,151.26456
1509,148.13536
1510,148.52364
1511,148.91414
1512,149.95274
1513,151.0942
1514,153.5753
1515,153.19354
1516,150.64479
1517,151.13197
1518,151.60216
1519,152.6679
1520,153.84113
1521,152.78346
1522,150.03911
1523,149.31425
1524,150.85516
1525,150.35733
1526,147.51955
1527,147.9942
1528,148.37405
1529,149.40717
1530,150.5299
1531,152.97717
1532,152.67288
1533,150.15228
1534,150.67793
1535,151.13936
1536,152.19994
1537,153.35686
1538,148.70016
1539,144.61876
1540,144.18086
1541,143.7275
1542,142.81667
1543,145.81998
1544,146.04443
1545,145.05528
1546,146.58931
1547,147.85854
1548,146.02193
1549,138.47302
1550,137.36488
1551,138.14108
1552,140.17929
1553,135.4747
1554,136.19662
1555,135.79565
1556,136.54729
1557,137.25824
1558,140.1733
1559,142.25461
1560,138.19759
1561,138.84515
1562,138.60149
1563,139.37357
1564,140.14203
1565,153.09601
1566,164.55528
1567,164.97171
1568,168.21288
1569,167.51515
1570,166.80162
1571,167.46518
1572,168.11826
1573,168.98666
1574,169.88153
1575,172.04631
1576,171.26169
1577,170.49562
1578,171.15265
1579,171.83492
1580,172.7188
1581,173.63959
1582,170.97972
1583,167.74423
1584,167.3211
1585,168.70522
1586,167.90068
1587,166.98657
1588,167.62334
1589,168.26628
1590,169.12387
1591,170.00912
1592,172.13011
1593,171.39993
1594,170.63438
1595,171.28093
1596,171.95323
1597,172.82748
1598,173.7397
1599,171.00858
1600,167.7257
1601,167.27216
1602,168.66777
1603,167.85002
1604,167.36351
1605,168.31969
1606,169.04489
1607,169.98628
1608,172.0853
1609,171.34515
1610,170.5796
1611,171.23044
1612,171.90619
1613,172.78421
1614,173.7002
1615,162.6723
1616,151.23106
1617,151.50015
1618,152.01843
1619,151.49416
1620,148.46405
1621,148.90623
1622,149.30637
1623,150.35097
1624,151.50668
1625,153.99088
1626,153.5588
1627,150.99992
1628,151.46376
1629,151.94064
1630,153.01169
1631,154.19678
1632,154.0824
1633,154.52477
1634,154.85071
1635,158.00685
1636,157.04657
1637,154.97572
1638,154.78682
1639,155.64305
1640,159.53728
1641,158.45197
1642,156.22864
1643,155.9664
1644,156.69058
1645,158.14287
1646,154.77704
1647,147.45137
1648,146.00957
1649,145.59227
1650,145.2203
1651,142.9841
1652,144.2717
1653,144.90572
1654,146.14299
1655,147.29321
1656,148.47968
1657,148.29231
1658,146.51187
1659,147.72202
1660,148.44241
1661,149.6802
1662,150.86649
1663,146.66539
1664,143.46219
1665,143.33992
1666,144.20937
1667,143.65846
1668,141.91373
1669,142.96417
1670,143.56711
1671,144.65465
1672,145.7051
1673,147.23827
1674,146.70076
1675,145.23148
1676,146.23848
1677,146.91473
1678,148.01756
1679,149.10956
1680,133.05713
1681,121.25647
1682,119.61117
1683,120.25892
1684,122.207146
1685,118.67062
1686,119.74168
1687,119.35461
1688,119.96423
1689,120.42961
1690,123.19302
1691,124.8926
1692,122.01344
1693,122.916374
1694,122.71254
1695,123.34603
1696,123.89281
1697,152.52055
1698,173.8144
1699,176.7334
1700,178.09947
1701,179.28714
1702,181.97775
1703,184.55655
1704,182.80615
1705,182.00969
1706,182.21628
1707,184.24504
1708,186.14812
1709,188.14717
1710,166.69774
1711,145.14836
1712,141.89209
1713,140.25073
1714,141.51276
1715,136.47998
1716,136.93419
1717,136.56705
1718,137.42807
1719,138.30869
1720,141.13684
1721,143.03339
1722,138.94666
1723,139.43692
1724,139.20767
1725,140.05875
1726,140.96443
1727,153.77467
1728,164.91505
1729,165.19359
1730,168.33377
1731,167.65442
1732,166.9294
1733,167.57594
1734,168.2218
1735,169.08284
1736,169.97083
1737,172.10469
1738,171.3582
1739,170.59299
1740,171.24246
1741,171.91751
1742,172.79486
1743,173.70964
1744,163.18474
1745,155.38701
1746,156.19481
1747,158.73909
1748,156.66258
1749,154.73256
1750,155.92125
1751,156.66689
1752,160.20631
1753,158.93709
1754,156.63768
1755,156.64902
1756,156.92961
1757,157.71596
1758,159.02261
1759,165.80133
1760,167.72276
1761,166.75475
1762,168.69199
1763,167.79799
1764,166.93626
1765,167.55928
1766,168.20634
1767,169.0684
1768,169.95744
1769,172.0956
1770,171.34395
1771,170.5784
1772,171.2289
1773,171.90498
1774,172.78336
1775,173.699
1776,143.2185
1777,115.32403
1778,114.363396
1779,114.38967
1780,115.08413
1781,114.2188
1782,113.6224
1783,112.971214
1784,112.518715
1785,112.22249
1786,114.765236
1787,115.43531
1788,114.77193
1789,114.29316
1790,113.90059
1791,113.707054
1792,113.66138
1793,136.6936
1794,143.74913
1795,142.1064
1796,144.32321
1797,143.40533
1798,141.94498
1799,142.9738
1800,143.5757
1801,144.66289
1802,145.71317
1803,147.24892
1804,146.71056
1805,145.23988
1806,146.24568
1807,146.92126
1808,148.0246
1809,149.11609
1810,150.77548
1811,149.57562
1812,150.19281
1813,152.09433
1814,151.59976
1815,148.75117
1816,149.19199
1817,149.59932
1818,150.64839
1819,151.81459
1820,154.29964
1821,153.83083
1822,151.26472
1823,151.71173
1824,152.19376
1825,153.26877
1826,154.46295
1827,185.86287
1828,201.4999
1829,205.52481
1830,210.65993
1831,207.25546
1832,205.69653
1833,206.38997
1834,206.878
1835,208.81473
1836,213.85524
1837,211.32983
1838,209.92442
1839,210.33656
1840,211.05232
1841,211.93208
1842,175.62886
1843,161.43416
1844,208.42131
1845,195.91194
1846,184.99738
1847,174.67166
1848,166.54214
1849,164.34526
1850,156.00934
1851,211.23367
1852,199.30147
1853,187.53223
1854,177.48074
1855,167.75505
1856,165.84494
1857,158.40698
1858,211.57918
1859,172.15364
1860,171.42517
1861,167.83147
1862,169.01793
1863,167.94601
1864,166.98451
1865,167.60324
1866,168.24773
1867,169.1067
1868,169.99298
1869,172.1193
1870,171.38225
1871,170.61687
